Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST_1,59,77767,15618,804,24,No
CUST_2,49,48054,41561,543,60,No
CUST_3,35,95319,12373,773,48,No
CUST_4,63,122789,40281,681,12,No
CUST_5,28,65397,25187,402,36,No
CUST_6,41,33233,7327,788,24,No
CUST_7,59,131205,37391,336,12,No
CUST_8,39,110020,46577,848,60,No
CUST_9,43,45068,23549,819,24,No
CUST_10,31,85727,44220,632,12,Yes
CUST_11,31,110610,12642,696,48,Yes
CUST_12,44,90453,19435,595,36,Yes
CUST_13,56,124135,38760,406,60,Yes
CUST_14,60,45832,43192,829,24,No
CUST_15,44,128464,9381,382,48,No
CUST_16,23,106242,36047,587,36,No
CUST_17,42,33682,24558,760,36,Yes
CUST_18,22,112298,35782,514,48,Yes
CUST_19,44,43383,9782,580,24,No
CUST_20,64,78160,30881,758,36,No
CUST_21,50,113332,45228,643,60,No
CUST_22,58,43666,34409,493,12,No
CUST_23,22,78817,24462,457,60,Yes
CUST_24,41,111198,7983,764,36,No
CUST_25,53,130695,36933,403,12,Yes
CUST_26,32,54642,7523,333,48,No
CUST_27,42,61830,14677,401,12,No
CUST_28,64,123067,15292,624,12,Yes
CUST_29,45,30234,20089,440,12,No
CUST_30,47,77616,9581,773,36,No
CUST_31,62,29221,16907,330,24,No
CUST_32,48,31410,10609,362,36,Yes
CUST_33,36,100055,49143,386,24,No
CUST_34,35,81413,27936,603,48,No
CUST_35,64,21051,47725,360,48,No
CUST_36,23,130529,38988,695,48,No
CUST_37,57,95301,34506,633,48,No
CUST_38,27,96918,18163,710,48,No
CUST_39,41,98116,17537,583,60,Yes
CUST_40,29,142226,27419,765,36,No
CUST_41,59,76563,47578,379,24,No
CUST_42,38,117859,14455,376,48,No
CUST_43,24,64757,14063,839,60,No
CUST_44,45,146169,5834,660,60,No
CUST_45,34,141008,37214,376,60,No
CUST_46,29,97475,32398,808,36,No
CUST_47,46,71257,39492,463,48,Yes
CUST_48,22,115500,7413,308,60,Yes
CUST_49,40,20307,14505,474,60,No
CUST_50,48,76889,42266,761,48,No
CUST_51,27,88895,7105,606,36,No
CUST_52,64,115184,7568,544,60,Yes
CUST_53,28,55944,47098,421,24,No
CUST_54,55,119555,42679,484,12,No
CUST_55,34,58134,38560,331,12,Yes
CUST_56,37,47323,19195,609,12,No
CUST_57,56,136205,20762,671,36,No
CUST_58,60,91762,46294,355,60,No
CUST_59,24,107225,20898,572,12,No
CUST_60,22,116507,26577,763,12,No
CUST_61,26,45954,6214,755,48,No
CUST_62,62,75021,25803,548,60,No
CUST_63,24,109959,28698,377,60,No
CUST_64,49,115927,37980,833,48,No
CUST_65,38,99866,6658,407,60,No
CUST_66,46,90427,17270,572,24,No
CUST_67,64,24992,42792,314,36,Yes
CUST_68,54,21961,27301,669,48,No
CUST_69,30,32497,10141,603,12,Yes
CUST_70,56,137551,43756,504,60,No
CUST_71,34,52551,18777,412,24,Yes
CUST_72,51,96384,43346,552,24,Yes
CUST_73,35,145374,34441,740,36,No
CUST_74,28,75755,33469,485,24,No
CUST_75,34,33255,8845,526,60,No
CUST_76,43,24567,49650,827,60,No
CUST_77,60,68847,28290,653,24,No
CUST_78,41,124817,35699,300,60,No
CUST_79,36,68003,49252,719,60,No
CUST_80,38,40389,38146,460,12,No
CUST_81,44,64523,8293,460,48,Yes
CUST_82,46,143802,49398,427,60,No
CUST_83,45,81576,21608,450,60,Yes
CUST_84,61,147342,5737,743,36,No
CUST_85,49,63919,21619,770,48,No
CUST_86,35,102103,17470,762,48,No
CUST_87,21,142443,27372,329,48,No
CUST_88,45,23358,21117,772,24,No
CUST_89,27,108535,19779,379,12,No
CUST_90,29,127894,34294,338,12,No
CUST_91,44,141485,26630,539,36,Yes
CUST_92,21,96524,45039,636,48,No
CUST_93,64,143416,17178,579,48,No
CUST_94,28,125982,24935,415,60,No
CUST_95,44,117057,27784,568,24,Yes
CUST_96,31,25698,28027,634,24,No
CUST_97,37,86809,36008,611,36,No
CUST_98,28,113079,6823,352,12,No
CUST_99,55,75805,11852,367,48,No
CUST_100,55,51349,18072,333,36,No
CUST_101,53,96777,16133,685,24,Yes
CUST_102,25,70248,20111,548,24,No
CUST_103,62,95033,37312,410,24,No
CUST_104,59,127411,29161,393,48,Yes
CUST_105,61,118239,44287,709,48,No
CUST_106,48,64041,6777,478,48,Yes
CUST_107,27,51954,29014,346,60,No
CUST_108,29,28002,19772,675,12,Yes
CUST_109,28,89783,49627,501,24,No
CUST_110,32,127524,23161,744,24,No
CUST_111,54,107234,47264,596,60,No
CUST_112,53,144857,12490,607,24,No
CUST_113,43,39738,46661,792,24,No
CUST_114,44,30703,29502,637,48,No
CUST_115,57,133776,40757,365,48,No
CUST_116,55,69422,46111,721,12,No
CUST_117,64,103106,37737,839,24,No
CUST_118,60,81899,22709,792,36,No
CUST_119,42,32392,49682,616,24,No
CUST_120,47,64724,13998,374,24,No
CUST_121,55,52299,33906,358,12,Yes
CUST_122,21,35641,40490,685,36,No
CUST_123,55,99534,9656,314,24,Yes
CUST_124,57,26305,41901,530,36,No
CUST_125,34,118262,30735,498,48,Yes
CUST_126,23,38782,34092,653,48,No
CUST_127,21,98257,6242,334,36,Yes
CUST_128,25,125299,46307,461,24,No
CUST_129,46,97963,6831,770,36,No
CUST_130,34,132086,33511,830,36,No
CUST_131,59,141987,12246,722,48,No
CUST_132,47,40566,36467,647,36,No
CUST_133,29,144591,23302,446,60,No
CUST_134,35,87766,8232,673,60,No
CUST_135,35,26511,41526,715,48,Yes
CUST_136,46,134816,43765,793,24,No
CUST_137,62,127765,15972,555,24,No
CUST_138,33,138360,39592,402,48,Yes
CUST_139,52,46177,15683,420,24,Yes
CUST_140,59,24765,28664,718,12,No
CUST_141,52,40354,41828,649,60,No
CUST_142,24,43929,38172,341,12,No
CUST_143,50,48820,23105,666,12,No
CUST_144,57,131576,26700,328,12,No
CUST_145,43,49523,16017,313,48,Yes
CUST_146,59,91088,41613,784,12,No
CUST_147,35,86163,25594,488,36,Yes
CUST_148,63,97525,16384,594,24,Yes
CUST_149,49,33780,35348,482,48,Yes
CUST_150,56,26589,21448,847,36,No
CUST_151,33,54812,14491,336,36,No
